,breed,color,id,male,species,name
18877,Domestic Shorthair Mix,Black/White,A689418,1.0,Cat,None
18878,Domestic Shorthair Mix,Black/White,A689416,0.0,Cat,Moo
18879,Domestic Shorthair Mix,Black,A689415,0.0,Cat,None
18880,Domestic Shorthair Mix,Tortie,A689419,0.0,Cat,Lucy
18891,Domestic Shorthair Mix,Black/White,A689447,0.0,Cat,Izzy
18892,Domestic Shorthair Mix,Black/White,A689446,0.0,Cat,Dizzy
18893,Domestic Shorthair Mix,Black,A689445,0.0,Cat,Mindy
18894,Domestic Shorthair Mix,Blue/White,A689450,0.0,Cat,Tizzy
18897,Domestic Shorthair Mix,Black,A689449,0.0,Cat,Bizzy
18898,Domestic Shorthair Mix,White/Brown Tabby,A689451,0.0,Cat,None
18906,Domestic Shorthair Mix,Blue Tabby/White,A689462,1.0,Cat,Luke
18907,Domestic Shorthair Mix,Brown Tabby/White,A689463,,Cat,None
18908,Domestic Shorthair Mix,Brown Tabby,A689464,1.0,Cat,Sonny
18912,Domestic Shorthair Mix,Black,A689469,1.0,Cat,None
18913,Domestic Shorthair Mix,Brown Tabby,A689470,0.0,Cat,None
18917,Domestic Shorthair Mix,Tortie,A689477,0.0,Cat,Buffy
18918,Domestic Shorthair Mix,Calico,A689480,0.0,Cat,Miracle
18919,Domestic Shorthair Mix,Black/White,A689478,1.0,Cat,Sylvester
18920,Domestic Shorthair Mix,Tortie,A689476,0.0,Cat,Lena
18923,Domestic Shorthair Mix,White/Black,A689481,1.0,Cat,None
18925,Domestic Shorthair Mix,Brown Tabby,A689483,0.0,Cat,Ella
18927,Domestic Shorthair Mix,Blue Tabby,A689486,0.0,Cat,Grayson
18928,Domestic Shorthair Mix,Tortie,A689485,0.0,Cat,Sabrina
18929,Domestic Shorthair Mix,Calico,A689487,0.0,Cat,None
18938,Domestic Longhair Mix,White,A689499,0.0,Cat,Kitty
18942,Domestic Medium Hair Mix,Buff,A689512,,Cat,None
18950,Domestic Shorthair Mix,Black,A689517,0.0,Cat,None
18951,Domestic Shorthair Mix,Brown Tabby,A689520,1.0,Cat,None
18952,Domestic Shorthair Mix,Black,A689522,0.0,Cat,None
18955,Domestic Shorthair Mix,White,A689525,0.0,Cat,Snowball
