,breed,color,id,male,species,name
160,Pit Bull/Anatol Shepherd,White/Brown,A664456,0.0,Dog,Poe
161,Miniature Poodle Mix,White,A664458,0.0,Dog,Chevy
162,Domestic Shorthair Mix,Brown Tabby/White,A664459,0.0,Cat,Miss Kitty
163,Dachshund Mix,Black/Tan,A200922,1.0,Dog,Carlos
164,Dachshund Mix,Brown,A664460,1.0,Dog,None
165,Dachshund Wirehair Mix,Tan,A664461,1.0,Dog,None
166,Leonberger Mix,Brown/White,A664462,1.0,Dog,Edgar
167,Labrador Retriever Mix,Black,A664463,0.0,Dog,Raven
168,Dachshund Longhair Mix,Tan,A664464,1.0,Dog,None
169,Labrador Retriever Mix,Gold,A664467,1.0,Dog,Bandit
170,Chesa Bay Retr Mix,Tan/White,A664468,1.0,Dog,Jesse
172,Pit Bull Mix,White/Black,A664472,0.0,Dog,Broadway
173,Domestic Shorthair Mix,Orange Tabby,A664473,1.0,Cat,Arthur
174,Domestic Shorthair Mix,Black/White,A664474,1.0,Cat,Charley
175,Chihuahua Shorthair Mix,Tan,A664475,1.0,Dog,None
176,Dachshund Wirehair/Border Terrier,Black/Tan,A664481,1.0,Dog,Costello
177,Dachshund Wirehair/Border Terrier,Tan,A664482,1.0,Dog,None
178,Dachshund Wirehair/Border Terrier,Tan,A664483,1.0,Dog,None
179,Dachshund Wirehair/Border Terrier,Black/Tan,A664484,0.0,Dog,None
180,Domestic Shorthair Mix,Torbie,A664485,0.0,Cat,Peaches
181,Domestic Shorthair Mix,Orange Tabby,A664486,0.0,Cat,Taylor
182,Domestic Shorthair Mix,Orange Tabby,A664487,1.0,Cat,Chris Angel
183,Labrador Retriever Mix,Black/White,A664489,0.0,Dog,Peaches
184,Labrador Retriever Mix,Black,A664490,1.0,Dog,Nikko
185,Labrador Retriever Mix,Black,A664491,1.0,Dog,None
186,Labrador Retriever Mix,Black,A664492,1.0,Dog,Hercules
187,Labrador Retriever Mix,Black,A664493,1.0,Dog,Teddy
188,Labrador Retriever Mix,Black/White,A664623,0.0,Dog,Dahlia
189,Labrador Retriever Mix,Blue/White,A632333,1.0,Dog,Charcoal
190,Mastiff/Dutch Shepherd,Brown Brindle,A664498,0.0,Dog,Gypsy
191,Domestic Longhair Mix,Tortie,A664494,0.0,Cat,Flower
192,Chihuahua Longhair Mix,Brown/White,A653571,1.0,Dog,T-Che
193,Rat Terrier Mix,White/Black,A664496,0.0,Dog,None
194,Rat Terrier/Australian Cattle Dog,Tricolor,A664497,0.0,Dog,None
195,Australian Cattle Dog Mix,Tricolor,A664499,0.0,Dog,None
196,Domestic Shorthair Mix,Black/White,A664501,1.0,Cat,Mittens
197,Domestic Shorthair Mix,Black/White,A664502,1.0,Cat,None
198,Domestic Shorthair Mix,Black/White,A664503,1.0,Cat,None
199,Pit Bull Mix,White/Blue,A664504,0.0,Dog,Matilda
200,Dachshund/Chihuahua Shorthair,Brown/Tan,A664507,0.0,Dog,None
201,Greyhound Mix,Tan/White,A664506,0.0,Dog,Pearl
202,Boxer Mix,Black/White,A664509,0.0,Dog,Dancer
203,Dachshund Wirehair/Standard Poodle,Black,A663123,1.0,Dog,Travis
204,Bulldog/Australian Cattle Dog,Black/White,A663004,0.0,Dog,Allie
205,Domestic Longhair Mix,Blue/White,A664510,1.0,Cat,Gizzmo
206,Miniature Pinscher Mix,Black/Brown,A664511,1.0,Dog,Franklin
207,Domestic Shorthair Mix,Tortie,A664513,0.0,Cat,Sarah
