Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A679722,,05/25/2014,12:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
A679723,,05/25/2014,12:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A679724,,05/25/2014,12:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A679725,,05/25/2014,12:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White
A679726,Young Blood,05/25/2014,12:51PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,White
A679721,Poppy,05/25/2014,12:54PM,Timber Heights Dr & Shaker Trl in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A679727,Whiskey,05/25/2014,1:15PM,Airport And 12Th St in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Sable
A679728,Jojo,05/25/2014,1:27PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,White
A679729,Tiger,05/25/2014,1:27PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A679730,*Cashew,05/25/2014,1:27PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue
A679731,Iggy,05/25/2014,1:27PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White
A679732,*Cotton,05/25/2014,1:27PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White
A679733,Wally,05/25/2014,1:30PM,1412 Choquete Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pembroke Welsh Corgi Mix,Blue Merle/White
A679734,,05/25/2014,1:32PM,Loyola Ln & Decker Ln in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A679735,,05/25/2014,1:44PM,5300 Thornwood in Austin (TX),Stray,Normal,Cat,Unknown,3 years,Domestic Shorthair Mix,Blue Tabby
A679736,,05/25/2014,1:56PM,2900 Sunridge Dr in Austin (TX),Stray,Normal,Cat,Intact Female,9 months,Domestic Shorthair Mix,Brown Tabby
A679737,,05/25/2014,2:06PM,12507 Esplanade in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Medium Hair Mix,Black/White
A679738,Max,05/25/2014,2:14PM,Austin (TX),Owner Surrender,Sick,Dog,Intact Male,4 months,Chihuahua Shorthair Mix,Brown Brindle
A679739,*Sassafrass,05/25/2014,2:17PM,928 Melted Candle Cv in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Boxer/Pit Bull,Brown Brindle/White
A679744,,05/25/2014,2:24PM,2200 Bitter Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A679745,,05/25/2014,2:24PM,2200 Bitter Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A679746,,05/25/2014,2:24PM,2200 Bitter Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A679747,Rambo,05/25/2014,2:27PM,9001 Capitol Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Yorkshire Terrier Mix,Red/Black
A679750,Shotzy,05/25/2014,3:08PM,1779 Wells Branch Parkway in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Weimaraner Mix,Chocolate
A679751,Arwen,05/25/2014,3:13PM,13810 Randalstone in Pflugerville (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
A679752,*Patches,05/25/2014,3:40PM,9704 Chukar in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,White/Brown Tabby
A679754,*Davey,05/25/2014,3:59PM,3374 Lake Austin Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby
A679755,*Maddie,05/25/2014,3:59PM,3374 Lake Austin Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby
A679753,*Slider,05/25/2014,4:03PM,14714 Colt Dr. in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Labrador Retriever Mix,Tan
A679756,Butters,05/25/2014,4:06PM,1103 Glass Dr in Leander (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Beagle,Tricolor
A679763,,05/25/2014,4:36PM,4902 Duval in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Silver Tabby
A679765,Frio,05/25/2014,4:42PM,Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Beagle Mix,Tricolor
A679766,Little Girl,05/25/2014,5:12PM,Clinger Rd & Moore Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Anatol Shepherd,Tan/Black
A679767,,05/25/2014,5:29PM,Camron Rd in Manor (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A679769,*Possum,05/25/2014,6:45PM,12101 Dessau Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pekingese/Pug,White/Red Tick
A679770,Carl,05/25/2014,7:35PM,1307 Glencrest in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
A591817,*Nessa,05/25/2014,10:53PM,2239 S. Lamar Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White
A675325,Hormiga,05/26/2014,12:25AM,E. 6Th St. & Chicon in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Great Pyrenees Mix,Cream
A675324,Alejo,05/26/2014,12:25AM,E. 6Th St. & Chicon in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Great Pyrenees Mix,Cream/Black
A679773,Minnie Mouse,05/26/2014,7:52AM,12034 Research in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Yorkshire Terrier Mix,Gray/Tan
A679774,Ginger,05/26/2014,7:52AM,12034 Research in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Labrador Retriever,Tan/White
A679775,Mocha,05/26/2014,7:52AM,12034 Research in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Boxer Mix,Brown/White
A679777,*Mozart,05/26/2014,10:59AM,Tonowa Trl in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
A679778,*Beethoven,05/26/2014,10:59AM,Tonowa Trl in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A679779,Robin,05/26/2014,10:59AM,Tonowa Trl in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Snowshoe Mix,Seal Point/White
A679780,Lory,05/26/2014,10:59AM,Tonowa Trl in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Siamese Mix,Calico Point
A679781,Scout,05/26/2014,10:59AM,Tonowa Trl in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A583162,Jake,05/26/2014,11:02AM,5508 Cordell Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,German Shorthair Pointer Mix,Chocolate
A679782,Sunshine,05/26/2014,11:15AM,7610 Cameron Rd in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue Tabby
A679785,*Ivy,05/26/2014,12:24PM,2204 Vanderbilt Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A679787,Molly,05/26/2014,12:41PM,905 Mansell Ave in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Torbie
A679788,Koda,05/26/2014,1:02PM,Guadalupe And Dean Keaton in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Labrador Retriever Mix,Black
A679791,Jemina,05/26/2014,1:12PM,4800 Shaw Ln in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Lhasa Apso/Shih Tzu,White/Tan
A590716,Panda,05/26/2014,1:12PM,2900 Sunridge Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix,White/Blue
A679790,Blue,05/26/2014,1:35PM,300 Bramble in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Schnauzer Mix,Gray/White
A679792,,05/26/2014,1:47PM,6808 Blue Dawn Trl in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A679793,,05/26/2014,1:55PM,12445 Alameda Trace in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue
A679796,James,05/26/2014,2:27PM,Austin (TX),Euthanasia Request,Sick,Cat,Intact Male,17 years,Domestic Shorthair Mix,Black
A679797,Genevieve,05/26/2014,2:27PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,13 years,Domestic Shorthair Mix,Orange Tabby
A679794,Bella,05/26/2014,2:32PM,Immanuel Rd & Killingsworth Ln in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,5 years,Shetland Sheepdog Mix,Sable/White
A679795,,05/26/2014,2:42PM,Unknown in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A656271,Scout,05/26/2014,2:52PM,Enfield Rd & Woodlawn Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,12 years,Rat Terrier Mix,White/Black
A679798,,05/26/2014,3:15PM,Cameron Rd in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black
A679799,*Cameron,05/26/2014,3:15PM,Cameron Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Boxer Mix,Black/White
A679800,Chloe,05/26/2014,3:43PM,Travis (TX),Stray,Normal,Dog,Intact Female,3 years,Basset Hound,Tan/White
A679801,,05/26/2014,4:20PM,13004 Scofield Farms Dr. in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Bat Mix,Brown
A679803,,05/26/2014,4:51PM,1601 E. Slaughter in Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Orange Tabby/White
A679805,Bentley,05/26/2014,5:40PM,Victory And Ben White in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Pug Mix,Sable/Tan
A679811,,05/26/2014,6:08PM,4900 Navarro Creek Rd in Del Valle (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue Tabby/White
A679813,*Star,05/26/2014,6:33PM,6600 Elm Creek Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A679814,*Stripes,05/26/2014,6:33PM,6600 Elm Creek Drive in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A679815,*Lulu,05/26/2014,6:55PM,10614 Research Blvd in Austin (TX),Stray,Injured,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A679816,*Iris,05/26/2014,6:55PM,10614 Research Blvd in Austin (TX),Stray,Injured,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A679817,*Ruby,05/26/2014,6:55PM,10614 Research Blvd in Austin (TX),Stray,Injured,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A679825,*Kerbey,05/27/2014,9:22AM,Austin (TX),Stray,Injured,Cat,Intact Male,9 months,Domestic Shorthair Mix,Brown Tabby
A679826,,05/27/2014,9:32AM,Exposition & Mt Laurel in Austin (TX),Wildlife,Sick,Other,Unknown,4 years,Raccoon,Gray/Black
A679827,*Storm,05/27/2014,10:03AM,4801 Lott in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
A679829,Abbey,05/27/2014,10:40AM,17335 Bridgefarmer in Travis (TX),Public Assist,Normal,Dog,Spayed Female,4 years,Shih Tzu Mix,White/Black
A679836,Chloe,05/27/2014,10:40AM,17335 Bridgefarmer in Travis (TX),Public Assist,Normal,Dog,Intact Female,2 years,Shih Tzu Mix,White/Tan
A679830,,05/27/2014,10:48AM,7516 Nixon Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Schnauzer Mix,Silver
A679831,Sophia,05/27/2014,10:59AM,17335 Bridgefarmer Blvd in Travis (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Lhasa Apso Mix,Tan
A679833,Huck,05/27/2014,10:59AM,17335 Bridgefarmer Blvd in Travis (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Beagle Mix,Tricolor
A679837,Snow,05/27/2014,11:00AM,Fm 969 And Burleson Manor in Manor (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Pit Bull Mix,White/Brown
A679832,*Charlie,05/27/2014,11:01AM,2036 Desco Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A679834,,05/27/2014,11:05AM,7308 Bucknell in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A455868,Booch,05/27/2014,11:10AM,Lago Vista (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Black/Tan Hound Mix,Black/Brown
A679835,Lola,05/27/2014,11:17AM,Covington Trail in Austin (TX),Stray,Normal,Dog,Intact Female,7 years,Labrador Retriever Mix,Black/White
A679838,Stitch,05/27/2014,11:43AM,2400 Ben White in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A679839,,05/27/2014,11:53AM,1709 Texas 71 in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Miniature Poodle Mix,White/Apricot
A679840,,05/27/2014,11:53AM,5721 Alsace Trail in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White
A679841,Tidus,05/27/2014,12:00PM,Bittern Hollow And Metric in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Siberian Husky Mix,Red/White
A673731,Roxy,05/27/2014,12:00PM,8800 Ih 35 Sv Rd Apt# 1061 in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Jack Russell Terrier/Dachshund,White/Brown Brindle
A679456,Kovu,05/27/2014,12:14PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Manx Mix,Blue Tabby
A679842,Sweetie,05/27/2014,12:16PM,Arroyo Seco & Romeria Dr in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 years,Chihuahua Shorthair/Chinese Sharpei,Tan/White
A679843,,05/27/2014,12:20PM,Curlew Dr And Aftonshire Way in Austin (TX),Stray,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Orange Tabby
A660790,Clyde,05/27/2014,12:33PM,Crosswood Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Siberian Husky Mix,Silver/White
A660791,Bonnie,05/27/2014,12:33PM,Crosswood Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Siberian Husky Mix,Black/Silver
A679845,,05/27/2014,1:02PM,101 W Louis Henna Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Tan/White
A679846,,05/27/2014,1:02PM,101 W Louis Henna Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/White
A679847,,05/27/2014,1:02PM,101 W Louis Henna Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Blue Merle/White
A679851,,05/27/2014,1:08PM,5800 Cougar Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Black/White
A679852,,05/27/2014,1:08PM,5800 Cougar Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A679853,,05/27/2014,1:08PM,5800 Cougar Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby
A679854,,05/27/2014,1:08PM,5800 Cougar Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Snowshoe Mix,Lynx Point
A679850,Diamond,05/27/2014,1:14PM,7Th St And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull Mix,Brown
A679855,Rocky,05/27/2014,1:15PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10 years,Australian Cattle Dog/Beagle,Sable
A679856,Lucy,05/27/2014,1:39PM,Fm 969 And Hunter'S Bend Rd in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Miniature Schnauzer/Miniature Poodle,Buff/Brown
A679858,,05/27/2014,2:10PM,Lamar And 183 in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Catahoula/Irish Wolfhound,Brown Merle
A679857,,05/27/2014,3:27PM,3903 Clawson Rd in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Blue
A679330,Hercules,05/27/2014,4:04PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Male,7 months,Pit Bull Mix,White/Tan
A679861,Taz,05/27/2014,4:22PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A679862,Whiskers,05/27/2014,4:22PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue
A679864,Toby,05/27/2014,4:22PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby
A676819,Molly,05/27/2014,4:26PM,2402 Dove in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Rottweiler Mix,Black
A679863,,05/27/2014,4:29PM,2206 Blue Meadow in Austin (TX),Wildlife,Normal,Other,Unknown,3 years,Bat Mix,Brown
A679865,Ruger,05/27/2014,4:31PM,10630 Joseph Clayton Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A679868,*Tiger Lily,05/27/2014,4:34PM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Boxer Mix,White/Brown Brindle
A679869,*Edith,05/27/2014,4:46PM,11203 Hidden Bluff Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,Beagle Mix,Black/Tan
A679866,,05/27/2014,5:01PM,1709 Norris Dr in Austin (TX),Public Assist,Sick,Other,Unknown,1 year,Raccoon Mix,Sable
A679871,Cindy,05/27/2014,5:30PM,1508 South Port in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Maine Coon Mix,Brown Tabby/White
A679870,*Chauncy,05/27/2014,5:31PM,Riverside Dr in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Miniature Poodle Mix,White
A679873,,05/27/2014,5:40PM,1154 Nickols Ave. in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Tan
A679758,Bebe,05/27/2014,5:45PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 months,Miniature Poodle Mix,White
A678101,Turbo,05/27/2014,5:56PM,10429 Firethorn Ln. in Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,American Bulldog Mix,Brown/White
A453933,West,05/27/2014,6:13PM,1212 Garden St. in Austin (TX),Stray,Sick,Dog,Neutered Male,11 years,Labrador Retriever Mix,Cream
A679881,*Thurgood,05/27/2014,6:19PM,11501 Loweswater in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Australian Shepherd Mix,Black/Brown
A679877,,05/27/2014,6:35PM,20724 Mead Bnd. in Pflugerville (TX),Wildlife,Injured,Other,Unknown,1 year,Bat Mix,Brown
A679880,Tito,05/27/2014,6:46PM,Lyons And Tillery in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Boxer Mix,Tan/Black
A679886,Layla,05/27/2014,9:27PM,9326 Lightwood Loop in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 years,Miniature Pinscher/Chihuahua Shorthair,Brown
A650431,Mia,05/27/2014,9:27PM,9326 Lightwood Loop in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Blue
A679889,,05/28/2014,7:40AM,12034 Research in Austin (TX),Stray,Sick,Dog,Intact Female,1 year,Miniature Poodle Mix,White
A679891,,05/28/2014,8:52AM,Slipper Elm in Austin (TX),Wildlife,Normal,Other,Unknown,5 months,Bat Mix,Gray
A679892,*Domino,05/28/2014,8:56AM,Round Mountain Rd in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Pointer Mix,White/Black
A679893,,05/28/2014,8:57AM,16670 Round Mountain in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Pointer Mix,Black/White
A679894,,05/28/2014,8:57AM,16670 Round Mountain in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Pointer Mix,Brown/White
A679895,,05/28/2014,9:01AM,7105 Wishing Well in Austin (TX),Stray,Injured,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
A679896,,05/28/2014,9:03AM,Bastrop (TX),Owner Surrender,Sick,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A679900,Irwin,05/28/2014,9:19AM,Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan/White
A679907,Oliver,05/28/2014,10:01AM,7601 Daffen Lane in Austin (TX),Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A679908,*Rosalind,05/28/2014,10:54AM,Manor (TX),Owner Surrender,Normal,Cat,Intact Female,5 weeks,Domestic Longhair Mix,Tortie/White
A679909,*Milicent,05/28/2014,10:54AM,Manor (TX),Owner Surrender,Normal,Cat,Intact Female,5 weeks,Domestic Medium Hair Mix,Torbie/White
A679910,*Fitzwilly,05/28/2014,10:54AM,Manor (TX),Owner Surrender,Normal,Cat,Intact Male,5 weeks,Domestic Longhair Mix,Black/White
A679911,*Barnabas,05/28/2014,10:54AM,Manor (TX),Owner Surrender,Normal,Cat,Intact Male,5 weeks,Domestic Shorthair Mix,Brown Tabby/White
A664324,Gus,05/28/2014,10:55AM,2012 Payne Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Soft Coated Wheaten Terrier Mix,Cream
A679867,Ladybird,05/28/2014,11:08AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Yellow Brindle/White
A679061,Aeris,05/28/2014,11:21AM,Manor & Roggie in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 months,Pit Bull Mix,Black Brindle/White
A679915,,05/28/2014,11:37AM,Ranchers Club Ln & Covered Bridge Dr in Hays (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A679917,Mo Mo,05/28/2014,11:37AM,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Anatol Shepherd Mix,Cream
A679918,Appa,05/28/2014,11:37AM,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Cream
A679916,*Jacks,05/28/2014,11:39AM,4701 Wirlaway Dr in Travis (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd Mix,Brown/Black
A679921,Smokey,05/28/2014,11:41AM,9500 S. Chisholm Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Russian Blue Mix,Blue
A679931,*Salsa,05/28/2014,11:41AM,9500 S. Chisholm Trail in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A679932,*Queso,05/28/2014,11:41AM,9500 S. Chisholm Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A679933,Watson,05/28/2014,11:41AM,9500 S. Chisholm Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Siamese Mix,Blue Point
A679919,,05/28/2014,11:48AM,Hudson Bend Rd & Forest Way in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Catahoula/Great Dane,Tan/White
A679923,Tifa,05/28/2014,11:49AM,11406 Santa Cruz Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A679926,*Austin,05/28/2014,11:49AM,11406 Santa Cruz Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A679928,*Amarillo,05/28/2014,11:49AM,11406 Santa Cruz Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A679929,Tigris,05/28/2014,11:49AM,11406 Santa Cruz Dr in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A679930,*Dallas,05/28/2014,11:49AM,11406 Santa Cruz Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A679927,*Onion,05/28/2014,11:50AM,9808 Oak Run Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A679924,*Sprout,05/28/2014,11:50AM,9808 Oak Run Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A679925,*Asparagus,05/28/2014,11:50AM,9808 Oak Run Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A679920,,05/28/2014,11:51AM,Hwy 1327 in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
A679934,Theo,05/28/2014,12:02PM,9500 S Chisholm Trl in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Snowshoe Mix,Chocolate Point/White
A679935,Corey,05/28/2014,12:02PM,9500 S Chisholm Trl in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Snowshoe Mix,Chocolate Point/White
A679936,Isabelle,05/28/2014,12:02PM,9500 S Chisholm Trl in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Longhair Mix,Black/White
A679937,Mia,05/28/2014,12:02PM,9500 S Chisholm Trl in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A679938,Rico,05/28/2014,12:16PM,124 W Anderson Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Tan/Black
A679939,Tom,05/28/2014,12:20PM,808 Gunter in Austin (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A679940,,05/28/2014,12:21PM,1500 Faro Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A679941,,05/28/2014,12:27PM,8709 Old Manor Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/White
A679942,,05/28/2014,12:27PM,8709 Old Manor Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Cardigan Welsh Corgi Mix,Cream/White
A679944,,05/28/2014,12:39PM,W 22Nd St  & Longview in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Cairn Terrier Mix,White/Buff
A679943,Suki,05/28/2014,12:40PM,7104 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue/White
A679946,,05/28/2014,12:53PM,4103 North Ih-35 in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Yellow
