Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A664585,,10/05/2013,4:31PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
A664586,,10/05/2013,4:31PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A659471,*Sprinkles,10/05/2013,4:52PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A664107,*Miss Mandy,10/05/2013,4:57PM,Adoption,,Dog,Spayed Female,2 years,Rat Terrier/Chihuahua Shorthair,White/Brown
A664069,,10/05/2013,4:57PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue
A664154,,10/05/2013,5:02PM,Adoption,,Dog,Spayed Female,5 months,Beagle Mix,Red/White
A661216,*Raven,10/05/2013,5:05PM,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,White/Black
A663667,*Cody,10/05/2013,5:05PM,Adoption,,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,White/Brown
A661036,*Dove,10/05/2013,5:10PM,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Brown Tabby
A663233,*Lobster,10/05/2013,5:16PM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn
A663954,Dozer,10/05/2013,5:21PM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A614516,Lexie,10/05/2013,5:23PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A627854,Brownie,10/05/2013,5:33PM,Return to Owner,,Dog,Neutered Male,1 year,Dachshund Mix,Blue Merle/Brown
A664047,Zoe,10/05/2013,5:34PM,Adoption,,Dog,Spayed Female,3 months,Pug Mix,Tan/Black
A664379,Miley,10/05/2013,5:40PM,Return to Owner,,Dog,Spayed Female,1 year,Border Terrier Mix,Brown/White
A658909,*Tabitha,10/05/2013,5:40PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue Tabby
A664189,,10/05/2013,6:11PM,Adoption,,Dog,Neutered Male,1 year,Dachshund Mix,Chocolate
A663764,*Betty,10/05/2013,6:22PM,Adoption,,Dog,Spayed Female,2 years,Staffordshire Mix,Blue/White
A664483,,10/05/2013,6:23PM,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair/Border Terrier,Tan
A664482,,10/05/2013,6:24PM,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair/Border Terrier,Tan
A662925,*Ezra,10/05/2013,6:52PM,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A663690,Louise,10/05/2013,6:56PM,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A664116,Maggie,10/05/2013,6:56PM,Adoption,,Dog,Spayed Female,10 months,Australian Shepherd/Australian Cattle Dog,Blue Merle/White
A663610,*Jr,10/05/2013,6:58PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A663609,*Alex,10/05/2013,7:00PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A664045,*Rudy,10/05/2013,7:20PM,Adoption,,Dog,Neutered Male,2 years,Affenpinscher Mix,Black/White
A660136,*Puffy,10/06/2013,9:46AM,Adoption,Offsite,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A581151,Molly,10/06/2013,11:19AM,Return to Owner,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Brown/White
A659618,*Maria,10/06/2013,11:36AM,Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A664484,,10/06/2013,11:53AM,Adoption,,Dog,Spayed Female,2 months,Dachshund Wirehair/Border Terrier,Black/Tan
A664378,Raisin,10/06/2013,12:01PM,Return to Owner,,Dog,Intact Male,2 years,Chinese Sharpei,Brown
A664547,Azula,10/06/2013,12:06PM,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair Mix,Torbie
A661033,Judo,10/06/2013,12:15PM,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Orange Tabby
A661430,*Choochoo,10/06/2013,12:15PM,Died,In Kennel,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Torbie
A664548,Katniss,10/06/2013,12:21PM,Transfer,Partner,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Tortie
A662906,Stanley,10/06/2013,12:51PM,Adoption,Offsite,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue
A664179,,10/06/2013,1:16PM,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever/Basset Hound,Tan
A663928,Vince,10/06/2013,1:19PM,Return to Owner,,Dog,Neutered Male,4 years,Australian Cattle Dog/Akita,Red/White
A664176,,10/06/2013,1:37PM,Transfer,Partner,Dog,Intact Female,5 months,Labrador Retriever/Basset Hound,Black
A664177,,10/06/2013,1:38PM,Transfer,Partner,Dog,Intact Male,5 months,Labrador Retriever/Basset Hound,Chocolate
A664178,,10/06/2013,1:38PM,Transfer,Partner,Dog,Intact Female,5 months,Labrador Retriever/Basset Hound,Tan
A657854,*Bow Tie,10/06/2013,1:44PM,Transfer,Partner,Other,Intact Male,11 months,Rabbit Sh,Black/White
A661391,*Willie,10/06/2013,1:49PM,Adoption,,Dog,Neutered Male,1 year,Bull Terrier Mix,White
A664065,*Snickers,10/06/2013,1:55PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A663123,Travis,10/06/2013,2:08PM,Return to Owner,,Dog,Neutered Male,10 months,Dachshund Wirehair/Standard Poodle,Black
A662880,*Orange,10/06/2013,2:18PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A661545,*Baby,10/06/2013,2:26PM,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby/White
A661561,Oscar,10/06/2013,2:26PM,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby
A256412,Beau,10/06/2013,2:26PM,Return to Owner,,Dog,Intact Male,16 years,Labrador Retriever Mix,Yellow
A633952,Maximus,10/06/2013,2:51PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
A663715,,10/06/2013,3:04PM,Transfer,SCRP,Cat,Unknown,6 months,Domestic Shorthair Mix,Brown Tabby/White
A664601,,10/06/2013,3:04PM,Transfer,SCRP,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby/White
A664561,,10/06/2013,3:04PM,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A664163,Corral,10/06/2013,3:06PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Black
A663961,Cooper,10/06/2013,3:09PM,Return to Owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Chocolate/Tan
A624575,Star,10/06/2013,3:10PM,Adoption,,Dog,Spayed Female,1 year,Anatol Shepherd Mix,Tan/White
A662647,*Lucy,10/06/2013,3:35PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A632969,Kane,10/06/2013,3:36PM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A664628,,10/06/2013,3:45PM,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Medium Hair Mix,Torbie
A664629,,10/06/2013,3:45PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,Orange Tabby
A529890,Vegas,10/06/2013,4:06PM,Euthanasia,Aggressive,Dog,Intact Male,9 years,Pit Bull,Blue/White
A661544,*Emmie,10/06/2013,5:05PM,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A661390,*Theo,10/06/2013,5:06PM,Adoption,,Dog,Neutered Male,1 year,Staffordshire Mix,Brown/White
A664305,Annabelle,10/06/2013,5:08PM,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd/Labrador Retriever,White
A664150,Pancha,10/06/2013,5:17PM,Return to Owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A664481,Costello,10/06/2013,5:18PM,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair/Border Terrier,Black/Tan
A664300,*Happy,10/06/2013,5:21PM,Adoption,,Dog,Neutered Male,2 months,Anatol Shepherd/Great Pyrenees,White/Tricolor
A664287,Daisy,10/06/2013,5:27PM,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Brown/White
A664145,Spanky,10/06/2013,5:33PM,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White
A662753,*Gisele,10/06/2013,5:34PM,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Blue Tabby/White
A664633,,10/06/2013,5:41PM,Euthanasia,,Other,Unknown,4 weeks,Raccoon,Brown/Black
A661038,Sniper,10/06/2013,5:44PM,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Black
A664612,,10/06/2013,5:48PM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A663958,Boris,10/06/2013,5:49PM,Adoption,,Dog,Neutered Male,5 years,Siberian Husky Mix,Black/White
A663917,*Gucci,10/06/2013,5:52PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Australian Cattle Dog,Red Merle/White
A664161,Theobromine,10/06/2013,5:55PM,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair/Beagle,Brown
A664301,Neville,10/06/2013,6:06PM,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd/Great Pyrenees,White/Tan
A664140,Shirin,10/06/2013,6:11PM,Adoption,,Dog,Spayed Female,4 years,Miniature Poodle/Yorkshire Terrier,Buff
A664089,*Crissy,10/06/2013,6:19PM,Adoption,,Dog,Spayed Female,8 years,Dachshund Mix,Tricolor
A663723,Tornado,10/06/2013,6:24PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A663722,Jj,10/06/2013,6:24PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A664606,Scooter,10/06/2013,6:28PM,Return to Owner,,Dog,Neutered Male,6 years,Miniature Schnauzer Mix,White
A662166,*Cupcake,10/06/2013,6:34PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue
A663985,*Buster,10/06/2013,6:43PM,Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier/Beagle,White/Brown
A664641,,10/06/2013,6:48PM,Transfer,Partner,Cat,Intact Female,1 day,Domestic Shorthair Mix,Tortie
A664625,Juanito,10/07/2013,11:24AM,Return to Owner,,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown/White
A659616,*Tatiana,10/07/2013,11:48AM,Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A643401,Maggie,10/07/2013,12:33PM,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/White
A664462,*Edgar,10/07/2013,1:06PM,Transfer,Partner,Dog,Intact Male,4 months,Leonberger Mix,Brown/White
A574916,King,10/07/2013,1:08PM,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull,Brown Brindle/White
A664039,,10/07/2013,1:09PM,Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Yellow
A663845,Bullet,10/07/2013,1:11PM,Transfer,Partner,Dog,Neutered Male,7 months,Pit Bull Mix,White/Tan
A643536,Herrod,10/07/2013,1:11PM,Transfer,Partner,Dog,Neutered Male,1 year,Whippet Mix,Black/White
A664041,Aquilla,10/07/2013,1:12PM,Transfer,Partner,Dog,Neutered Male,1 year,Australian Kelpie Mix,Black/White
A664230,Arya,10/07/2013,1:13PM,Transfer,Partner,Dog,Spayed Female,1 year,Whippet Mix,Black
A662991,*Shimmer,10/07/2013,1:14PM,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Brown
A652358,Buddy,10/07/2013,1:39PM,Euthanasia,Rabies Risk,Dog,Neutered Male,8 years,Pit Bull/Mastiff,Brown/White
A661521,*Candace,10/07/2013,1:58PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A664611,Black,10/07/2013,2:02PM,Return to Owner,,Dog,Spayed Female,8 months,Beagle Mix,Black/Tan
A664253,Moose,10/07/2013,2:15PM,Return to Owner,,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Brown
A664631,Moon Shadow,10/07/2013,2:24PM,Return to Owner,,Dog,Intact Female,1 year,Siberian Husky Mix,White
A664682,,10/07/2013,2:31PM,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown
A664684,,10/07/2013,3:33PM,Euthanasia,Medical,Other,Unknown,1 year,Opossum Mix,Gray/Black
A664685,,10/07/2013,3:33PM,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Gray
A661612,,10/07/2013,3:49PM,Adoption,Foster,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,White/Buff
A663697,*Abby,10/07/2013,4:00PM,Adoption,,Dog,Spayed Female,3 years,Beagle Mix,Tricolor
A664677,,10/07/2013,4:01PM,Transfer,SCRP,Cat,Unknown,4 years,Domestic Shorthair Mix,Black/White
A664582,,10/07/2013,4:01PM,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black/White
A664583,,10/07/2013,4:01PM,Transfer,SCRP,Cat,Unknown,4 months,Domestic Medium Hair Mix,Black/White
A664609,,10/07/2013,4:01PM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A664626,,10/07/2013,4:02PM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A659832,*Cooper,10/07/2013,4:17PM,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Rhod Ridgeback,Brown
A661775,Albert,10/07/2013,4:56PM,Adoption,Foster,Cat,Neutered Male,2 years,Siamese Mix,Blue Point
A661112,Peggy,10/07/2013,4:57PM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Longhair,White/Black
A664590,Sesame,10/07/2013,4:59PM,Adoption,,Dog,Spayed Female,3 months,Anatol Shepherd Mix,White
A664073,*Parker,10/07/2013,5:06PM,Adoption,,Dog,Neutered Male,2 years,Hovawart Mix,Black/Tan
A664599,Muffin,10/07/2013,5:12PM,Return to Owner,,Dog,Spayed Female,3 years,Miniature Poodle Mix,White
A664600,Nikii,10/07/2013,5:12PM,Return to Owner,,Dog,Spayed Female,3 years,Miniature Poodle Mix,Black
A664455,Diesle,10/07/2013,5:16PM,Adoption,,Dog,Neutered Male,2 months,Pit Bull Mix,White/Brown Brindle
A664286,Sugar,10/07/2013,5:42PM,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Brown
A664382,Chewey,10/07/2013,5:52PM,Adoption,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Chocolate
A659172,Lexi,10/07/2013,6:00PM,Adoption,Foster,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Black/Tan
A590251,Sunny,10/07/2013,6:21PM,Adoption,Foster,Dog,Spayed Female,4 years,Australian Shepherd Mix,Black/Blue Merle
A664587,,10/07/2013,6:24PM,Adoption,,Dog,Neutered Male,2 months,Anatol Shepherd Mix,White/Tricolor
A662919,*Lisa,10/07/2013,6:34PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A664589,Jax,10/07/2013,6:38PM,Adoption,,Dog,Neutered Male,3 months,Anatol Shepherd Mix,Yellow
A664665,Avalon,10/07/2013,6:48PM,Return to Owner,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black
A663862,Roscoe,10/07/2013,6:56PM,Adoption,,Dog,Neutered Male,8 months,German Shepherd Mix,Brown/Black
A664712,,10/07/2013,7:06PM,Euthanasia,Suffering,Dog,Unknown,4 weeks,Chow Chow Mix,Black/Brown
A664689,,10/08/2013,7:49AM,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black
A664711,,10/08/2013,10:49AM,Euthanasia,Suffering,Cat,Intact Female,5 years,Himalayan Mix,Tortie Point
A664602,Blue,10/08/2013,11:14AM,Return to Owner,,Dog,Neutered Male,2 years,Doberman Pinsch,Blue/Tan
A662923,*Monty,10/08/2013,11:44AM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A662921,*Marty,10/08/2013,11:44AM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A664717,,10/08/2013,11:48AM,Euthanasia,Rabies Risk,Other,Intact Male,1 year,Raccoon Mix,Black/Brown
A664267,*Asti,10/08/2013,12:10PM,Return to Owner,,Dog,Intact Female,4 months,Pit Bull Mix,White/Black
A664723,,10/08/2013,12:47PM,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Calico
A664715,Leroy,10/08/2013,3:58PM,Return to Owner,,Dog,Neutered Male,2 years,Basset Hound,Tricolor
A661783,*Gwen,10/08/2013,4:00PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Brown Tabby/White
A664740,,10/08/2013,4:35PM,Euthanasia,Suffering,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black Tabby
A652729,Yoda,10/08/2013,4:57PM,Transfer,Partner,Dog,Neutered Male,7 months,Kuvasz/Labrador Retriever,White
A663948,Pumpkin,10/08/2013,5:23PM,Return to Owner,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A664646,Ruby,10/08/2013,5:41PM,Return to Owner,,Dog,Spayed Female,5 years,Australian Shepherd Mix,Red/White
A661735,*Otis,10/08/2013,5:49PM,Adoption,,Dog,Neutered Male,5 years,American Bulldog Mix,White/Black
A660279,*Indigo,10/08/2013,5:49PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A664540,Baby Girl,10/08/2013,6:05PM,Return to Owner,,Dog,Spayed Female,1 year,Rat Terrier Mix,Tricolor
A664434,Missy,10/08/2013,6:08PM,Adoption,,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Tan/White
A662762,Lily,10/08/2013,6:15PM,Adoption,,Cat,Spayed Female,1 month,Snowshoe Mix,Calico Point/White
A663893,Khaleesi,10/08/2013,6:22PM,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
A645599,Lily,10/08/2013,6:22PM,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Black
A664702,Harley,10/08/2013,6:22PM,Return to Owner,,Dog,Neutered Male,4 years,Pit Bull Mix,White
A664449,Roxie,10/08/2013,6:24PM,Adoption,Foster,Dog,Spayed Female,5 years,Yorkshire Terrier Mix,Tan
A663864,Bella,10/08/2013,6:26PM,Return to Owner,,Dog,Spayed Female,1 year,American Bulldog Mix,White/Brown
A664019,*Charcoal,10/08/2013,6:27PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A663932,Sebastian,10/08/2013,6:33PM,Return to Owner,,Dog,Neutered Male,1 year,Boxer Mix,Brown/White
A664336,,10/08/2013,6:44PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A664337,,10/08/2013,6:45PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A664619,Lucas,10/08/2013,7:01PM,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan
A662922,*Missy,10/08/2013,7:11PM,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue Tabby
A664741,,10/09/2013,8:56AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A651690,Rocky,10/09/2013,12:48PM,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
A663530,*Montgomery,10/09/2013,12:52PM,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A662781,*John,10/09/2013,1:00PM,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A664049,*Romeo,10/09/2013,1:12PM,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown
A664572,Twilight,10/09/2013,1:13PM,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Brown
A664068,,10/09/2013,1:14PM,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Blue Tabby
A664070,,10/09/2013,1:15PM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Blue
A657197,Gecko,10/09/2013,1:15PM,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A664071,,10/09/2013,1:16PM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Black
A664593,Chiquilla,10/09/2013,1:39PM,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
A664686,Rock,10/09/2013,1:46PM,Euthanasia,Suffering,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/Black
A664683,,10/09/2013,1:58PM,Euthanasia,Suffering,Cat,Intact Male,4 years,Domestic Shorthair Mix,Black
A663168,Archer,10/09/2013,3:32PM,Return to Owner,,Dog,Neutered Male,1 year,Catahoula Mix,Brown Merle
A664830,,10/09/2013,3:59PM,Euthanasia,Suffering,Other,Unknown,1 year,Raccoon Mix,Brown/Black
A660611,*Cookie,10/09/2013,4:04PM,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A664733,,10/09/2013,4:34PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A664734,,10/09/2013,4:34PM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A663722,Jj,10/09/2013,4:38PM,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A663723,Tornado,10/09/2013,4:42PM,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A664277,*Pogo,10/09/2013,4:50PM,Adoption,,Dog,Spayed Female,9 months,Chihuahua Shorthair Mix,White/Brown
A664831,,10/09/2013,5:04PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue
A664799,,10/09/2013,5:04PM,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A664425,Simba,10/09/2013,5:26PM,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White/Tan
A664426,Canelo,10/09/2013,5:27PM,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan
A664461,,10/09/2013,5:31PM,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Tan
A664528,Glinda,10/09/2013,5:36PM,Adoption,,Dog,Spayed Female,2 years,Toy Poodle Mix,White
A664596,Blanca,10/09/2013,5:38PM,Adoption,,Dog,Spayed Female,5 months,Great Pyrenees Mix,White
A657774,Ottis,10/09/2013,5:45PM,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A664539,Jj,10/09/2013,6:07PM,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/Black
A664421,*Daisy,10/09/2013,6:16PM,Transfer,Partner,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Brown
A664807,Lily,10/09/2013,6:24PM,Return to Owner,,Dog,Spayed Female,9 years,Cocker Spaniel,Chocolate/Gray
A664834,,10/09/2013,6:35PM,Euthanasia,Suffering,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tan
A660822,*Maddie,10/09/2013,6:36PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A632333,Charcoal,10/09/2013,6:38PM,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Blue/White
A661850,*Gucci,10/09/2013,6:41PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby
A664076,*Henry,10/09/2013,6:42PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Silver Tabby
A664077,*Hannah,10/09/2013,6:44PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Silver Tabby
A664485,*Peaches,10/09/2013,6:44PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A664486,*Taylor,10/09/2013,6:46PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Orange Tabby
A664487,*Chris Angel,10/09/2013,6:47PM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A664638,*Minerva,10/09/2013,6:48PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Black Smoke
A654782,Gilda,10/09/2013,6:54PM,Adoption,,Dog,Spayed Female,11 months,Pointer/Labrador Retriever,White/Black
A664193,*Carrie,10/09/2013,7:07PM,Euthanasia,Suffering,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A664835,,10/09/2013,7:28PM,Transfer,Partner,Cat,Intact Male,2 weeks,Siamese Mix,Lynx Point
A664837,,10/09/2013,7:29PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
A664838,,10/09/2013,7:29PM,Transfer,Partner,Cat,Intact Male,2 weeks,Siamese Mix,Lynx Point
A664854,,10/10/2013,9:49AM,Disposal,,Other,Unknown,6 months,Bat Mix,Brown
A664853,,10/10/2013,9:50AM,Disposal,,Other,Unknown,6 months,Bat Mix,Brown
A649385,*Dusty,10/10/2013,9:59AM,Euthanasia,Aggressive,Dog,Spayed Female,4 years,Pit Bull Mix,Blue/White
A658212,Turbo,10/10/2013,10:31AM,Adoption,Foster,Dog,Neutered Male,4 months,Chihuahua Shorthair Mix,Cream
A636828,Boss,10/10/2013,11:05AM,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
