,id,name,outcome_type,outcome_detail,species,age,breed,color,datetime,fixed,male
86,A688130,Queen Bee,Transfer,Partner,Dog,0.575342465753,Pit Bull Mix,Brown/White,2014-10-03 12:55:00,0.0,0.0
87,A641048,Blacky,Return to Owner,None,Cat,3.0,Domestic Shorthair Mix,Black,2014-10-03 13:21:00,1.0,1.0
88,A689107,Toba,Adoption,None,Cat,0.0821917808219,Domestic Shorthair Mix,Brown Tabby/White,2014-10-03 13:37:00,0.0,1.0
89,A689260,Gambit,Return to Owner,None,Dog,5.0,Shetland Sheepdog Mix,Black/Brown,2014-10-03 15:23:00,1.0,1.0
90,A670089,Lucky,Adoption,None,Dog,2.0,German Shepherd Mix,Sable,2014-10-03 15:31:00,1.0,1.0
91,A687360,Nila,Return to Owner,None,Dog,1.0,Pit Bull Mix,Brown/White,2014-10-03 15:40:00,1.0,0.0
92,A673898,Blue Eyes,Return to Owner,None,Dog,0.739726027397,Catahoula Mix,White/Brown Brindle,2014-10-03 15:40:00,1.0,1.0
93,A678954,Whisper,Adoption,None,Cat,0.41095890411,Domestic Shorthair Mix,Brown Tabby,2014-10-03 15:43:00,1.0,0.0
94,A686212,Sophie,Transfer,Partner,Cat,0.164383561644,Domestic Shorthair Mix,White/Black,2014-10-03 15:56:00,1.0,0.0
95,A686214,Sam,Transfer,Partner,Cat,0.164383561644,Domestic Shorthair Mix,White/Black,2014-10-03 15:56:00,1.0,1.0
96,A686216,Sally,Transfer,Partner,Cat,0.164383561644,Domestic Medium Hair Mix,Black/White,2014-10-03 15:57:00,1.0,0.0
97,A686213,Sylvia,Transfer,Partner,Cat,0.164383561644,Domestic Shorthair Mix,White/Black,2014-10-03 15:57:00,1.0,0.0
98,A686215,Sara,Transfer,Partner,Cat,0.164383561644,Domestic Shorthair Mix,White/Black,2014-10-03 15:57:00,1.0,0.0
99,A689111,None,Transfer,Partner,Dog,1.0,Dachshund Mix,White/Black,2014-10-03 16:25:00,1.0,0.0
100,A689101,Rylie,Adoption,None,Dog,0.246575342466,Dachshund Mix,Black/Tan,2014-10-03 16:44:00,1.0,0.0
101,A689103,Sadie,Adoption,None,Dog,1.0,Chihuahua Longhair Mix,Orange/Tan,2014-10-03 16:54:00,1.0,0.0
102,A689405,None,Euthanasia,Rabies Risk,Other,2.0,Bat Mix,Brown,2014-10-03 16:58:00,,
103,A689370,Spicey,Return to Owner,None,Cat,0.328767123288,Domestic Shorthair Mix,Tortie,2014-10-03 17:03:00,1.0,0.0
104,A689106,None,Adoption,None,Dog,0.0821917808219,Labrador Retriever Mix,Black,2014-10-03 17:05:00,1.0,1.0
105,A595993,Pluto,Return to Owner,None,Dog,3.0,Pit Bull/Rhod Ridgeback,Red/White,2014-10-03 17:19:00,1.0,1.0
106,A689082,Boo,Adoption,None,Cat,0.246575342466,Domestic Shorthair Mix,Torbie,2014-10-03 17:22:00,1.0,0.0
107,A688344,Céline,Adoption,None,Cat,0.0821917808219,Domestic Shorthair Mix,Cream Tabby,2014-10-03 17:34:00,1.0,0.0
108,A688804,None,Adoption,None,Dog,0.657534246575,Pit Bull Mix,White/Brown Brindle,2014-10-03 17:51:00,1.0,1.0
109,A689083,Felix,Adoption,None,Dog,1.0,Manchester Terrier Mix,Black/Tan,2014-10-03 17:54:00,1.0,1.0
110,A688699,Tigger,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Brown Tabby,2014-10-03 18:22:00,1.0,1.0
111,A688871,Pandora,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Black,2014-10-03 18:43:00,0.0,0.0
112,A686635,Maria,Adoption,None,Dog,1.0,Pit Bull Mix,Fawn,2014-10-03 18:44:00,1.0,0.0
113,A688878,Jd,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Brown Tabby,2014-10-03 18:45:00,1.0,1.0
114,A689404,Mickey,Return to Owner,None,Cat,5.0,Domestic Shorthair Mix,Black,2014-10-03 18:47:00,1.0,1.0
115,A689320,Sereno,Return to Owner,None,Dog,15.0,Miniature Schnauzer Mix,Gray/White,2014-10-03 18:58:00,1.0,1.0
116,A663846,Cj,Return to Owner,None,Dog,3.0,Chihuahua Longhair Mix,Buff,2014-10-03 19:04:00,1.0,1.0
117,A689363,Kitty,Adoption,None,Dog,4.0,Bruss Griffon Mix,Tan,2014-10-03 19:05:00,1.0,0.0
118,A628159,Delgado,Euthanasia,Aggressive,Dog,4.0,Carolina Dog Mix,Tan,2014-10-04 08:52:00,1.0,1.0
119,A689414,None,Transfer,SCRP,Cat,1.0,Domestic Shorthair Mix,Blue Tabby/White,2014-10-04 09:00:00,,
120,A689412,None,Transfer,SCRP,Cat,1.0,Domestic Shorthair Mix,Brown Tabby/White,2014-10-04 09:00:00,0.0,0.0
121,A689402,None,Transfer,SCRP,Cat,1.0,Domestic Shorthair Mix,Black,2014-10-04 09:00:00,0.0,0.0
122,A689403,None,Transfer,SCRP,Cat,6.0,Domestic Shorthair Mix,Calico,2014-10-04 09:00:00,0.0,0.0
123,A689372,Beamer,Return to Owner,None,Dog,14.0,German Shorthair Pointer,Liver Tick,2014-10-04 11:08:00,1.0,1.0
124,A688913,None,Transfer,Partner,Dog,0.657534246575,Pit Bull Mix,White/Chocolate,2014-10-04 11:10:00,1.0,1.0
125,A686556,Oreo,Adoption,Foster,Cat,8.0,Domestic Shorthair Mix,Black/White,2014-10-04 11:19:00,1.0,1.0
126,A672663,Halo,Transfer,Partner,Dog,6.0,Labrador Retriever Mix,Black Brindle/White,2014-10-04 11:24:00,1.0,1.0
127,A688889,None,Transfer,Partner,Dog,3.0,German Shepherd Mix,Black/Tan,2014-10-04 11:24:00,0.0,0.0
128,A688194,Sugar,Transfer,Partner,Dog,0.739726027397,Labrador Retriever/Border Collie,Black/White,2014-10-04 11:24:00,1.0,0.0
129,A666371,Bella,Return to Owner,None,Dog,1.0,Border Collie/Great Pyrenees,White/Black,2014-10-04 11:39:00,1.0,0.0
130,A623561,Marley,Return to Owner,None,Dog,5.0,Pit Bull Mix,Blue/White,2014-10-04 11:47:00,1.0,1.0
131,A689380,Josephine,Return to Owner,None,Dog,12.0,Jack Russell Terrier Mix,White/Black,2014-10-04 11:48:00,1.0,0.0
132,A686555,Bella,Adoption,Foster,Cat,0.493150684932,Domestic Longhair Mix,Torbie,2014-10-04 12:17:00,1.0,0.0
133,A678664,Gloria,Adoption,Foster,Cat,1.0,Domestic Shorthair Mix,Black,2014-10-04 12:17:00,1.0,0.0
134,A667409,Herby,Return to Owner,None,Cat,1.0,Domestic Medium Hair Mix,Black,2014-10-04 12:22:00,1.0,1.0
135,A686810,Joey,Adoption,Foster,Cat,0.0821917808219,Domestic Shorthair Mix,Orange Tabby,2014-10-04 12:33:00,1.0,1.0
136,A686811,Josh,Adoption,Foster,Cat,0.0821917808219,Domestic Shorthair Mix,White/Orange Tabby,2014-10-04 12:33:00,1.0,1.0
137,A685923,Rooney,Return to Owner,None,Dog,2.0,Pit Bull Mix,Brown/White,2014-10-04 12:36:00,1.0,0.0
138,A689462,Luke,Return to Owner,None,Cat,0.575342465753,Domestic Shorthair Mix,Blue Tabby/White,2014-10-04 13:26:00,1.0,1.0
139,A684608,Button,Adoption,Foster,Cat,0.246575342466,Domestic Shorthair Mix,Black/White,2014-10-04 13:28:00,1.0,1.0
140,A686147,Andy,Adoption,Foster,Cat,0.246575342466,Domestic Shorthair Mix,Black,2014-10-04 13:31:00,1.0,1.0
141,A688426,Sadie,Return to Owner,None,Dog,0.575342465753,Chesa Bay Retr/Labrador Retriever,Brown,2014-10-04 13:41:00,1.0,0.0
142,A680910,Coco,Adoption,Foster,Cat,4.0,Domestic Shorthair,Calico,2014-10-04 14:03:00,1.0,0.0
143,A689253,Spider Man,Adoption,None,Cat,0.575342465753,Domestic Shorthair Mix,Black,2014-10-04 14:07:00,1.0,1.0
144,A689472,None,Euthanasia,Rabies Risk,Other,1.0,Raccoon Mix,Black/White,2014-10-04 14:17:00,,
145,A689479,None,Euthanasia,Rabies Risk,Other,2.0,Bat Mix,Brown,2014-10-04 14:27:00,,
146,A689473,Chloe,Return to Owner,None,Dog,2.0,Yorkshire Terrier Mix,Silver/Tan,2014-10-04 14:56:00,1.0,0.0
147,A688594,None,Adoption,None,Dog,0.164383561644,Chihuahua Shorthair Mix,Black,2014-10-04 14:59:00,1.0,0.0
148,A689140,Lemmy,Return to Owner,None,Dog,2.0,Shih Tzu,Sable,2014-10-04 15:36:00,1.0,1.0
149,A689195,None,Transfer,Partner,Dog,2.0,Chihuahua Shorthair Mix,White/Black,2014-10-04 16:20:00,1.0,1.0
150,A662557,Austin,Transfer,Partner,Dog,6.0,Pit Bull Mix,Blue,2014-10-04 16:22:00,1.0,1.0
151,A689021,Rocky,Transfer,Partner,Dog,0.821917808219,Miniature Pinscher Mix,Black/Tan,2014-10-04 16:24:00,1.0,1.0
152,A688442,Daisy,Transfer,Partner,Dog,0.821917808219,Border Terrier Mix,Brown,2014-10-04 16:28:00,1.0,0.0
153,A684805,Bambi,Adoption,None,Dog,5.0,Pit Bull Mix,Brown Brindle/White,2014-10-04 16:30:00,1.0,0.0
154,A689492,None,Euthanasia,Rabies Risk,Other,1.0,Bat,Brown,2014-10-04 16:35:00,,
155,A689470,None,Transfer,Partner,Cat,0.0575342465753,Domestic Shorthair Mix,Brown Tabby,2014-10-04 16:40:00,0.0,0.0
156,A688524,Ginny,Adoption,None,Dog,1.0,Labrador Retriever Mix,Black,2014-10-04 16:57:00,1.0,0.0
157,A647713,Coco,Adoption,Offsite,Dog,12.0,Chihuahua Shorthair Mix,Chocolate,2014-10-04 17:00:00,1.0,0.0
158,A689209,None,Transfer,Partner,Dog,1.0,Miniature Poodle Mix,White,2014-10-04 17:08:00,1.0,0.0
159,A670978,Vivica,Return to Owner,None,Dog,1.0,Great Pyrenees Mix,White,2014-10-04 17:11:00,1.0,0.0
160,A689081,Becca,Adoption,None,Dog,0.657534246575,Australian Cattle Dog Mix,Red Merle,2014-10-04 17:18:00,1.0,0.0
161,A689033,Sabana,Return to Owner,None,Dog,2.0,German Shepherd Mix,Tricolor,2014-10-04 17:22:00,1.0,0.0
162,A689496,Winston,Euthanasia,Suffering,Dog,10.0,St. Bernard Smooth Coat Mix,White/Brown,2014-10-04 17:28:00,0.0,1.0
163,A689261,Buddy,Return to Owner,None,Dog,0.821917808219,Dachshund Wirehair Mix,White,2014-10-04 17:29:00,1.0,1.0
164,A689178,None,Adoption,None,Dog,0.657534246575,Dachshund Mix,Tan/White,2014-10-04 17:31:00,1.0,1.0
165,A688705,Junie,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,White/Black,2014-10-04 18:02:00,1.0,0.0
166,A626847,Sasha,Adoption,None,Dog,2.0,German Shepherd Mix,Brown/White,2014-10-04 18:27:00,1.0,0.0
167,A688445,Rudy,Adoption,Foster,Dog,0.0821917808219,Chihuahua Shorthair Mix,Brown Brindle/White,2014-10-04 18:31:00,1.0,1.0
168,A688427,None,Transfer,Partner,Dog,3.0,American Bulldog Mix,White,2014-10-04 18:46:00,1.0,1.0
169,A689196,Asma,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Torbie,2014-10-04 18:51:00,1.0,0.0
170,A687062,Gonzo,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Cream Tabby,2014-10-04 18:54:00,1.0,1.0
171,A688041,Endo,Adoption,None,Dog,8.0,Labrador Retriever/Bloodhound,Red,2014-10-04 19:13:00,1.0,1.0
172,A689097,None,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Tortie,2014-10-04 19:15:00,1.0,0.0
173,A689463,None,Transfer,SCRP,Cat,1.0,Domestic Shorthair Mix,Brown Tabby/White,2014-10-05 09:00:00,,
174,A689392,None,Transfer,SCRP,Cat,0.246575342466,Domestic Shorthair Mix,Orange,2014-10-05 09:00:00,0.0,1.0
175,A689451,None,Transfer,SCRP,Cat,2.0,Domestic Shorthair Mix,White/Brown Tabby,2014-10-05 09:00:00,0.0,0.0
176,A689469,None,Transfer,SCRP,Cat,1.0,Domestic Shorthair Mix,Black,2014-10-05 09:00:00,0.0,1.0
177,A689512,None,Euthanasia,Suffering,Cat,3.0,Domestic Medium Hair Mix,Buff,2014-10-05 10:38:00,,
178,A680505,Bernie,Adoption,None,Dog,3.0,Pit Bull Mix,White/Brown,2014-10-05 11:40:00,1.0,0.0
179,A689497,Kit Kat,Return to Owner,None,Dog,4.0,Yorkshire Terrier/Miniature Poodle,Brown/Black,2014-10-05 11:52:00,1.0,0.0
180,A689283,Dexter,Transfer,Partner,Dog,1.0,Miniature Pinscher Mix,Black/Tan,2014-10-05 13:09:00,0.0,1.0
181,A689517,None,Transfer,Partner,Cat,0.013698630137,Domestic Shorthair Mix,Black,2014-10-05 13:21:00,0.0,0.0
182,A688519,Sage,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Cream Tabby,2014-10-05 14:42:00,0.0,0.0
183,A689197,Leo,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Brown Tabby,2014-10-05 15:05:00,1.0,1.0
184,A688737,Piglet,Transfer,Partner,Cat,0.0821917808219,Domestic Shorthair Mix,Black,2014-10-05 15:09:00,0.0,1.0
185,A688812,Tigger,Transfer,Partner,Cat,0.0821917808219,Domestic Medium Hair Mix,Brown Tabby,2014-10-05 15:10:00,0.0,1.0
186,A688740,Eeyore,Transfer,Partner,Cat,0.0821917808219,Domestic Shorthair Mix,Black,2014-10-05 15:10:00,0.0,1.0
187,A688741,Kanga,Transfer,Partner,Cat,0.0821917808219,Domestic Shorthair Mix,Torbie,2014-10-05 15:10:00,0.0,0.0
188,A688914,Layla,Adoption,None,Dog,0.821917808219,Miniature Poodle Mix,White,2014-10-05 15:29:00,1.0,0.0
189,A687786,Lexi,Adoption,None,Dog,5.0,German Shepherd Mix,Tan/Black,2014-10-05 15:57:00,1.0,0.0
190,A687841,Sunset,Adoption,None,Cat,8.0,Domestic Shorthair Mix,Cream Tabby,2014-10-05 16:12:00,1.0,1.0
191,A684998,Tiki,Adoption,None,Cat,10.0,Domestic Shorthair Mix,Black/White,2014-10-05 16:12:00,1.0,1.0
192,A689219,Ryder,Adoption,None,Dog,1.0,Pekingese Mix,White/Buff,2014-10-05 16:56:00,1.0,1.0
193,A689299,None,Adoption,None,Dog,6.0,Shih Tzu,Brown/White,2014-10-05 17:01:00,1.0,1.0
194,A687432,Rika,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Black,2014-10-05 17:03:00,1.0,0.0
195,A689228,Louie,Adoption,None,Dog,0.328767123288,Dachshund/Chihuahua Shorthair,Sable/Tan,2014-10-05 17:09:00,1.0,1.0
196,A689294,Chalupa Btmn,Adoption,None,Dog,1.0,Dachshund Longhair/Cairn Terrier,Black/White,2014-10-05 17:13:00,1.0,1.0
197,A689279,Wren,Adoption,None,Dog,1.0,Rat Terrier Mix,White/Brown,2014-10-05 17:24:00,1.0,0.0
198,A689536,None,Euthanasia,Medical,Other,1.0,Californian Mix,White,2014-10-05 17:34:00,,
199,A689134,None,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Tortie,2014-10-05 17:38:00,1.0,0.0
200,A689139,None,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Tortie,2014-10-05 17:41:00,1.0,0.0
201,A689135,None,Adoption,None,Cat,0.164383561644,Domestic Shorthair Mix,Tortie,2014-10-05 17:41:00,1.0,0.0
202,A689090,Riddle,Adoption,None,Dog,0.164383561644,Redbone Hound Mix,Brown/Black,2014-10-05 17:42:00,1.0,1.0
203,A689413,Ross,Return to Owner,None,Dog,0.575342465753,German Shepherd Mix,Sable,2014-10-05 17:44:00,1.0,1.0
204,A689400,Brutus,Return to Owner,None,Dog,6.0,Beagle Mix,Tricolor,2014-10-05 17:46:00,1.0,1.0
205,A689399,Jax,Return to Owner,None,Dog,3.0,German Shepherd Mix,Black,2014-10-05 17:51:00,1.0,1.0
206,A688973,Captain,Adoption,None,Dog,1.0,Chesa Bay Retr Mix,Brown,2014-10-05 17:52:00,1.0,1.0
